, ID3=0x11, v3=0.00, vZ3=0.29
ID=0x12, v1=0.00, vZ1=4.36,ID2=0x13, v2=0.00, vZ2=-0.46, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=5.20,ID2=0x13, v2=0.00, vZ2=-0.46, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=6.01,ID2=0x13, v2=0.00, vZ2=-0.46, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=6.75,ID2=0x13, v2=0.00, vZ2=0.22, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=7.43,ID2=0x13, v2=0.00, vZ2=0.84, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=8.07,ID2=0x13, v2=0.00, vZ2=-0.48, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=8.70,ID2=0x13, v2=0.00, vZ2=-0.48, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=9.38,ID2=0x13, v2=0.00, vZ2=-0.40, ID3=0x11, v3=0.00, vZ3=9.46
ID=0x12, v1=0.00, vZ1=10.11,ID2=0x13, v2=0.00, vZ2=0.84, ID3=0x11, v3=0.00, vZ3=2.05
ID=0x12, v1=0.00, vZ1=10.90,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=10.02
ID=0x12, v1=0.00, vZ1=11.75,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=11.35
ID=0x12, v1=0.00, vZ1=12.62,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=4.35
ID=0x12, v1=0.00, vZ1=13.47,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=12.13
ID=0x12, v1=0.00, vZ1=14.27,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=6.66
ID=0x12, v1=0.00, vZ1=15.01,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=7.33
ID=0x12, v1=0.00, vZ1=15.69,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=16.31,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=16.87,ID2=0x13, v2=0.00, vZ2=1.70, ID3=0x11, v3=0.00, vZ3=12.96
ID=0x12, v1=0.00, vZ1=17.32,ID2=0x13, v2=0.00, vZ2=7.15, ID3=0x11, v3=0.00, vZ3=12.96
