Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.21
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.21
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.32
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.37
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.36
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.36
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.56,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.93,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.56,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.42,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.42,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=0.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=-170141183460469240000000000000000000000.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=-0.25
Received: ID2=0x13, v2=-170141183460469240000000000000000000000.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=-170141183460469240000000000000000000000.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=-170141183460469240000000000000000000000.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=-0.18
Received: ID2=0x13, v2=-170141183460469240000000000000000000000.00, vZ2=0.71,Received: ID3=0x11, v3=0.00, vZ3=-0.18
Received: ID2=0x13, v2=0.00, vZ2=0.42,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.09
Received: ID2=0x13, v2=0.00, vZ2=0.30,Received: ID3=0x11, v3=0.00, vZ3=-0.10
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.13
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.17
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.17
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.17
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.17
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=-0.05
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.28
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.17
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.29
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.20
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.29
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.29
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.12,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.12,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.15,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.12,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.12,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.12
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.12
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.28
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.27
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.10
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.22
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.08
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.08
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=0.00, vZ2=0.12,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=0.00, vZ2=0.11,Received: ID3=0x11, v3=0.00, vZ3=0.05
Received: ID2=0x13, v2=0.00, vZ2=0.13,Received: ID3=0x11, v3=0.00, vZ3=0.05
